,,SMALL SIMPLEX,SMALL DUPLEX,SIMPLEX,DUPLEX,TRIPLEX,MODERN,SCRIPT SIMPLEX,SCRIPT DUPLEX,ITALLIC DUPLEX,ITALLIC TRIPLEX,FANCY,GOTHIC
85,U,20,420,109,697,1255,1021,159,1047,747,1281,1425,1478
86,V,21,421,110,698,1256,1022,160,1048,748,1282,1426,1479
87,W,22,422,111,699,1257,1023,161,1049,749,1283,1427,1480
88,X,23,423,112,700,1258,1024,162,1050,750,1284,1428,1481
89,Y,24,424,113,701,1259,1025,163,1051,751,1285,1429,1482
90,Z,25,425,114,702,1260,1026,164,1052,752,1286,1430,1483
91,[,873,873,873,873,873,873,873,873,873,873,873,873
92,\,324,324,324,324,324,324,324,324,324,324,324,324
93,],874,874,874,874,874,874,874,874,874,874,874,874
94,^,897,897,897,897,897,897,897,897,897,897,897,897
95,_,881,881,881,881,881,881,881,881,881,881,881,881
96,`,899,899,899,899,899,899,899,899,899,899,899,899
97,a,0,476,166,754,1287,1053,216,1079,804,1313,1429,1484
98,b,1,477,167,755,1288,1054,217,1080,805,1314,1430,1485
99,c,2,478,168,756,1289,1055,218,1081,806,1315,1431,1486
100,d,3,479,169,757,1290,1056,219,1082,807,1316,1432,1487
101,e,4,480,170,758,1291,1057,220,1083,808,1317,1433,1488
102,f,5,481,171,759,1292,1058,221,1084,809,1318,1434,1489
103,g,6,482,172,760,1293,1059,222,1085,810,1319,1435,1490
104,h,7,483,173,761,1294,1060,223,1086,811,1320,1436,1491
105,i,8,484,174,762,1295,1061,224,1087,812,1321,1437,1492
106,j,9,485,175,763,1296,1062,225,1088,813,1322,1438,1493
107,k,10,486,176,764,1297,1063,226,1089,814,1323,1439,1494
108,l,11,487,177,765,1298,1064,227,1090,815,1324,1440,1495
109,m,12,488,178,766,1299,1065,228,1091,816,1325,1441,1496
110,n,13,489,179,767,1300,1066,229,1092,817,1326,1442,1497
111,o,14,490,180,768,1301,1067,230,1093,818,1327,1443,1498
112,p,15,491,181,769,1302,1068,231,1094,819,1328,1444,1499
113,q,16,492,182,770,1303,1069,232,1095,820,1329,1445,1500
114,r,17,493,183,771,1304,1070,233,1096,821,1330,1446,1501
115,s,18,494,184,772,1305,1071,234,1097,822,1331,1447,1502
116,t,19,495,185,773,1306,1072,235,1098,823,1332,1448,1503
117,u,20,496,186,774,1307,1073,236,1099,824,1333,1449,1504
118,v,21,497,187,775,1308,1074,237,1100,825,1334,1450,1505
119,w,22,498,188,776,1309,1075,238,1101,826,1335,1451,1506
120,x,23,499,189,777,1310,1076,239,1102,827,1336,1452,1507
121,y,24,500,190,778,1311,1077,240,1103,828,1337,1453,1508
122,z,25,501,191,779,1312,1078,241,1104,829,1338,1454,1509
123,{,272,272,272,875,875,875,875,875,875,875,875,875
124,|,274,274,274,879,879,879,879,879,879,879,879,879
125,},273,273,273,876,876,876,876,876,876,876,876,876
126,~,307,307,307,896,896,896,896,896,896,896,896,896
127,UNK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
